tradingitemid,ind_long,ind_short,proba_long,proba_short,marketcap,volume,beta,borrowcost,borrowavailability_base
2634721,1,0,0.654295407,0.345704593,17523.0492,4347145,0.9329304578,0.08392714285,423384810
2587051,1,0,0.6541484507,0.3458515493,1417.10965,2360600,0.7309294899,0.19625,62695015
2643691,1,0,0.6541144307,0.3458855693,4898.74217,2336455,0.846630817,0.2026785714,86418375
26971778,1,0,0.6534125762,0.3465874238,219.883074,199160,0.8213643586,0.0047537257,8310515
2605981,1,0,0.6533103005,0.3466896995,225.27312,283410,0.6285438306,0.2035,52285455
2596805,1,0,0.6530178609,0.3469821391,670.308048,789500,0.5695944397,0.1053571429,65101280
2618950,1,0,0.6529941337,0.3470058663,29911.3248,11818970,1.284901546,0.2348642857,1009306190
2660015,1,0,0.6528806949,0.3471193051,128.625159,111820,0.5618211311,0.3,12427415
2613295,1,0,0.6521089605,0.3478910395,582.8889,300300,0.7198479422,0.0047537257,27109460
2636020,1,0,0.6520847985,0.3479152015,2291.88765,3061115,0.6253915368,1.701964286,10537240
13464357,1,0,0.6518383398,0.3481616602,483.534298,670135,1.099418582,0.3,93369000
2649058,1,0,0.6517414864,0.3482585136,709.3923,520800,1.33000608,0.16675,35870095
2613944,1,0,0.6512513987,0.3487486013,467.523596,181370,0.8620852388,0.3,32199510
2600582,1,0,0.6511271831,0.3488728169,137716.8849,103446885,0.9308605333,0.3233785714,6484022580
2638038,1,0,0.650582048,0.349417952,11073.51048,8117080,0.8491689307,0.2788557143,235701800
29686438,1,0,0.6500969133,0.3499030867,641.597053,262845,0.4882244596,0.3,26160920
2649116,1,0,0.6494370968,0.3505629032,440.983951,295600,1.449099684,0.3,28185020
2618203,1,0,0.6488889994,0.3511110006,13496.93744,4048165,0.5835552272,0.1132142857,272541560
2663222,1,0,0.6488789189,0.3511210811,203653.6934,39468030,0.2921984871,0.2835585714,2251020295
33345319,1,0,0.648851365,0.351148635,3087.62928,1505650,0.5212359251,0.1053571429,159799345
2996665,1,0,0.6488447031,0.3511552969,2061.43065,684195,0.9964720679,0.1914885714,16563460
26915030,1,0,0.6484550796,0.3515449204,1075.571,2380800,1.323459135,0.0047537257,224645550
2623295,1,0,0.6479666147,0.3520333853,771.866031,1336590,1.406298946,0.2630357143,36247295
2657992,1,0,0.647457069,0.352542931,58526.88786,11354655,0.8929226543,0.2482157143,685382100
2620799,1,0,0.647342483,0.352657517,2314.966,3791210,0.817574623,0.1026785714,133394180
2601047,1,0,0.6469524404,0.3530475596,8528.288,3029275,0.4084874206,0.1597628571,147767260
2650601,1,0,0.6469418686,0.3530581314,1325.73078,568125,1.765400524,0.2921428571,49803615
2662209,1,0,0.6466579388,0.3533420612,94110.66824,39560415,0.4881203079,0.2458471429,2863174625
2661626,1,0,0.6466422668,0.3533577332,2700.80996,1425120,0.7683082977,0.245,104997930
2594041,1,0,0.6466045886,0.3533954114,1217.628742,915535,1.049575866,0.1,137756970
2596492,1,0,0.6464334685,0.3535665315,9851.42893,3390690,1.035434905,0.42027,200905245
2595746,1,0,0.6464284023,0.3535715977,8024.925496,91625,0.5412608962,0.3,13197000
2595748,1,0,0.6464284023,0.3535715977,8024.925496,3304260,0.4165790888,0.3,13197000
2616073,1,0,0.646419335,0.353580665,7195.92145,1859235,0.8419761524,0.0047537257,72705590
2655888,1,0,0.6462716398,0.3537283602,3283.09168,5613170,0.6279667922,0.1152557143,180922450
2611374,1,0,0.6461683273,0.3538316727,4199.026027,2716935,0.8077377453,0.1057142857,123016185
2637511,1,0,0.6461515177,0.3538484823,4248.5044,3919405,0.8697300745,0.0047537257,180351905
22882231,1,0,0.6461008767,0.3538991233,1713.431577,909685,0.6196127963,0.0047537257,139041170
2658032,1,0,0.6459402666,0.3540597334,1592.587674,6236490,0.6931336064,0.3,236095825
3746111,1,0,0.6452411984,0.3547588016,1100.290282,668420,1.743384856,0.0047537257,75855840
2628374,1,0,0.6449206747,0.3550793253,1735.284328,691990,0.3191018963,0.2107142857,45294465
2649388,1,0,0.6445162298,0.3554837702,3474.866255,3261785,1.278121239,0.0047537257,180016495
30252204,1,0,0.6435206216,0.3564793784,1391.403014,1188760,1.624967915,0.0047537257,95591930
2665260,1,0,0.6433860257,0.3566139743,7354.410855,10199070,1.587442745,0.3629257143,1018855245
2601274,1,0,0.6427622987,0.3572377013,13359.36051,14501445,0.867234658,0.1377371429,842891015
2628880,1,0,0.6426759184,0.3573240816,7222.3704,10075990,0.9159338149,0.0047537257,600297030
2628679,1,0,0.6421179383,0.3578820617,3984.46724,1440775,0.9310556639,0.3073642857,33711320
24398044,1,0,0.641921911,0.358078089,372.72764,172155,0.3756548986,0.0047537257,10953365
2587089,1,0,0.6415987508,0.3584012492,3830.671826,4767850,0.1440386484,0.2286157143,113791380
2617727,1,0,0.6411429993,0.3588570007,6263.148628,2433605,0.5213795364,0.2026785714,181890585
2658404,1,0,0.6410542529,0.3589457471,1399.12984,3686010,1.379090034,0.51299,97178085
2594874,1,0,0.6409735531,0.3590264469,898.28128,881385,1.087628648,0.0047537257,49839760
2637780,1,0,0.6405918928,0.3594081072,567.75324,171850,1.340483751,0.0047537257,28829860
2651939,1,0,0.6403815521,0.3596184479,119.83338,107010,0.5232756683,0.3,12874530
2610237,1,0,0.6400858881,0.3599141119,1214.66061,617290,1.356460803,0.0047537257,54944905
2604065,1,0,0.6399775237,0.3600224763,4109.73396,3490120,0.3066754603,0.1053571429,244490095
2665480,1,0,0.6398513057,0.3601486943,16355.54856,7204405,0.7295192127,0.2247885714,488209165
2586481,1,0,0.6396665871,0.3603334129,2156.99148,379510,0.6048873941,0.1053571429,67071595
2610952,1,0,0.6389016271,0.3610983729,1005.72545,989845,1.471076715,0.1702385714,45518560
2619080,1,0,0.6386784325,0.3613215675,281.2796,3475945,0.7272021861,0.28625,57100585
2618314,1,0,0.6383667779,0.3616332221,1959.74974,1187570,0.5989240458,0.2026785714,111529700
2611306,1,0,0.6380765056,0.3619234944,293.48704,1353540,1.861407008,0.3,82330300
2618133,1,0,0.6379924818,0.3620075182,1384.82103,1389600,0.8277178438,0.2885714286,52123215
2663176,1,0,0.6378296513,0.3621703487,1942.59544,1757170,1.169440846,0.2955357143,99411110
2643289,1,0,0.6377595379,0.3622404621,162.94398,229610,0.7303949439,0.0047537257,14456530
2623717,1,0,0.6374066271,0.3625933729,20185.3568,4119750,0.3092986645,0.2279485714,282709120
25067966,1,0,0.6373257404,0.3626742596,348.642,484300,0.9580899291,0.3,22883655
2610628,1,0,0.6370563386,0.3629436614,7372.9785,3341220,1.119899861,0.2145,280930930
2654928,1,0,0.6370470045,0.3629529955,2902.133591,431560,0.4517466882,0.2303571429,4955090
2591803,1,0,0.6369792634,0.3630207366,21608.29942,6881460,0.6962724823,0.2210714286,508917625
2650367,1,0,0.6366039453,0.3633960547,6151.68225,1707135,0.8314979443,0.4042857143,127605620
2608749,1,0,0.6361297674,0.3638702326,276.0368,165400,1.091267843,0.0047537257,25362620
2643643,1,0,0.6357578287,0.3642421713,1909.491001,953240,0.6772035793,0.1928571429,109925970
2664956,0,1,0.0878913946,0.9121086054,253.27869,504720,0.5300737505,0.0979116912,0
44388194,0,1,0.1237135429,0.8762864571,,,,,
2588602,0,1,0.1362601274,0.8637398726,,,,,
2606085,0,1,0.1405576579,0.8594423421,76.4778,1330825,0.5993176513,0.0979116912,0
24331894,0,1,0.1418656362,0.8581343638,,,,,
58448034,0,1,0.1432708049,0.8567291951,,,,,
47283261,0,1,0.1563818307,0.8436181693,50.629536,364080,0.7325988325,0.017221244,0
30891240,0,1,0.1634011475,0.8365988525,,,,,
30852064,0,1,0.1774532167,0.8225467833,,,,,
39561544,0,1,0.1817870009,0.8182129991,,,,,
2621089,0,1,0.1896599701,0.8103400299,767.9325,3989415,2.958629509,2.135404286,1058060
36844570,0,1,0.2004954293,0.7995045707,115.99176,243585,-0.08664862086,0.1925864251,0
52056521,0,1,0.2019178069,0.7980821931,,,,,
8056907,0,1,0.203755374,0.796244626,,,,,
2663520,0,1,0.2098208445,0.7901791555,106.481483,19135,0.5030473129,0.1925864251,0
42103135,0,1,0.2206700714,0.7793299286,,,,,
40789246,0,1,0.2206906616,0.7793093384,,,,,
2603143,0,1,0.2228512006,0.7771487994,91.98784,9435,1.232281652,0.0510404504,0
2590204,0,1,0.2243930878,0.7756069122,,,,,
43996804,0,1,0.2273589028,0.7726410972,,,,,
2630447,0,1,0.2275815427,0.7724184573,281.00465,416935,2.28062547,0.1324136696,297275
38683123,0,1,0.2319716721,0.7680283279,116.86794,1098570,1.064525197,16.11285714,0
6270009,0,1,0.2355185861,0.7644814139,570.80484,3481715,1.315217582,0.0510404504,0
2593791,0,1,0.2355514063,0.7644485937,84.562256,1185580,1.340307291,0.5508018376,0
36057231,0,1,0.2402064183,0.7597935817,,,,,
35777167,0,1,0.2419061773,0.7580938227,85.0248,637460,0.8061178653,0.5508018376,0
26520954,0,1,0.2432250343,0.7567749657,,,,,
2630494,0,1,0.2467945608,0.7532054392,,,,,
23895642,0,1,0.2478969464,0.7521030536,,,,,
30440451,0,1,0.2504027339,0.7495972661,103.04745,5585420,2.591041788,45.82714286,0
34969527,0,1,0.2697777629,0.7302222371,,,,,
58448985,0,1,0.2724669859,0.7275330141,,,,,
34761275,0,1,0.2742981211,0.7257018789,188.01679,38170,0.7400255707,0.2253571429,152120
2635984,0,1,0.277523384,0.722476616,107.74796,3597265,1.063938949,0.1324136696,0
2635472,0,1,0.27989991,0.72010009,83.64965,71360,1.380264882,0.017221244,2638345
28994358,0,1,0.2908392922,0.7091607078,518.56875,369535,0.5469728313,0.1925864251,0
2655474,0,1,0.291722535,0.708277465,54.929009,1095,0.9449818759,0.1925864251,0
41582813,0,1,0.2938431748,0.7061568252,413.615223,2465585,4.461977711,0.0047537257,34428790
46532994,0,1,0.2967265264,0.7032734736,123.40185,356955,0.3242780148,0.0047537257,1328820
47329863,0,1,0.2971319381,0.7028680619,2335.524,82524230,1.622103049,0.0047537257,1016706590
251736274,0,1,0.2971319381,0.7028680619,2335.524,82524230,1.622069007,0.0047537257,1016706590
41626258,0,1,0.2974729667,0.7025270333,,,,,
23061747,0,1,0.2989690634,0.7010309366,1680.95779,26253040,-0.09755833231,1.767934286,10283780
30236202,0,1,0.305545001,0.694454999,69.557157,585410,0.4547825732,0.0047537257,406650
38439869,0,1,0.309441697,0.690558303,,,,,
45582546,0,1,0.3103763037,0.6896236963,,,,,
27127727,0,1,0.3105901353,0.6894098647,,,,,
2605961,0,1,0.3108948043,0.6891051957,199.58595,229555,0.9776493894,0.0716226202,246430
2662988,0,1,0.3139813873,0.6860186127,,,,,
2649625,0,1,0.3174624777,0.6825375223,351.48668,1268130,3.11294183,0.3,32758660
37821245,0,1,0.3211273183,0.6788726817,150.67104,1623280,3.478675018,0.017221244,30679505
44806861,0,1,0.3216753637,0.6783246363,167.536337,797060,3.104439861,0.3,27309440
2586260,0,1,0.3238854504,0.6761145496,310.626635,917550,0.8291743666,0.3,36593440
41947543,0,1,0.3277514482,0.6722485518,781.911686,91095,1.231461694,0.1324136696,192125
2619654,0,1,0.3280749363,0.6719250637,225.079884,34465,2.009775899,0.0047537257,5292070
2650589,0,1,0.3313513377,0.6686486623,821.31376,32053065,0.7276174304,0.0510404504,1920380
45314234,0,1,0.3334794129,0.6665205871,117.919274,167390,0.6468410404,0.0047537257,1994435
60988622,0,1,0.3374379216,0.6625620784,,,,,
29975852,0,1,0.3381382189,0.6618617811,138.800172,5196930,0.2202761173,0.0716226202,0
2630976,0,1,0.3388139043,0.6611860957,64.47264,393865,0.5856713371,0.0047537257,0
54670135,0,1,0.339590948,0.660409052,1328.93488,5568455,2.132692661,0.0320012764,2002865
43996764,0,1,0.3402933888,0.6597066112,,,,,
39016687,0,1,0.3425444307,0.6574555693,407.27643,227330,1.479283883,10.35535714,890335
2621367,0,1,0.3433532479,0.6566467521,98.265,2773805,1.742346154,0.3,0
11124865,0,1,0.34346667,0.65653333,,,,,
23396159,0,1,0.34438591,0.65561409,148.995781,706355,1.333271904,0.5508018376,0
2660091,0,1,0.3447381206,0.6552618794,246.463,6143690,0.9798031694,0.3,18022850
2637854,0,1,0.3452308428,0.6547691572,75.26241,83340,1.069682773,0.0979116912,0
2588446,0,1,0.3470302029,0.6529697971,92.857578,132860,1.599898575,0.1925864251,0
52476521,0,1,0.3472216014,0.6527783986,,,,,
30120412,0,1,0.3545980933,0.6454019067,1231.0463,4249685,3.294335809,0.52902,15633280
2606289,0,1,0.3548585985,0.6451414015,367.79138,1341720,1.999772342,0.0510404504,83115
28624450,0,1,0.3549271293,0.6450728707,140.7627,7275,1.724295631,0.1925864251,0
46119251,0,1,0.3573219786,0.6426780214,110.778165,641555,0.8920651527,0.0979116912,73000
2631034,0,1,0.3573880774,0.6426119226,198.517287,1241280,1.178103876,0.0047537257,48433480
30334514,0,1,0.3576029148,0.6423970852,211,7872635,3.324080136,0.2547088084,1246045
2642809,0,1,0.3581790965,0.6418209035,262.24584,1434495,1.260896535,2.612857143,425825
30134040,0,1,0.3587674738,0.6412325262,287.807752,8775,1.954037594,0.3276785714,1459265
2642888,0,1,0.3601349477,0.6398650523,62.62217,80545,1.523215721,0.1925864251,0
2588734,0,1,0.3626427514,0.6373572486,574.739529,6878010,5.517714504,0.2026785714,65892700
2662689,0,1,0.3643458377,0.6356541623,109.2602,1340850,0.7801018568,0.0047537257,20684655
27059656,0,1,0.3650596579,0.6349403421,2297.514827,570,1.707545966,0.3,0
24362510,0,1,0.3667532798,0.6332467202,69.44875,112605,0.6476247306,0.1324136696,0
36526431,0,1,0.3676902161,0.6323097839,,,,,
51415550,0,1,0.3691523198,0.6308476802,624.78902,640195,1.881967009,0.3,38465440
34448124,0,1,0.3706916365,0.6293083635,714.884574,657260,1.426952292,0.3,13418045
54629317,0,1,0.3715471855,0.6284528145,,,,,
2598075,0,1,0.3717866354,0.6282133646,251.22432,377910,2.255468196,0.5508018376,146725
2660963,0,1,0.3734568779,0.6265431221,302.294275,2617175,0.486032045,0.3,82996315
45035154,0,1,0.3738090025,0.6261909975,476.0382,233165,1.241810801,0.2554771429,257550
29268940,0,1,0.3741223009,0.6258776991,85.95486,54330,0.7808748833,0.3,2672815
2630730,0,1,0.3774032529,0.6225967471,127.07415,597325,1.995290693,0.0047537257,6984145
47859871,0,1,0.3793059542,0.6206940458,227.788376,562980,2.888183163,0.0047537257,26692755
62239656,0,1,0.3797175959,0.6202824041,,,,,
83716268,0,1,0.3797175959,0.6202824041,,,,,
71456700,0,1,0.3797175959,0.6202824041,3142.727871,672060,1.078388036,0.5620228571,21443730
102216495,0,1,0.3797175959,0.6202824041,,,,,
37954866,0,1,0.3797175959,0.6202824041,,,,,
70865669,0,1,0.3797175959,0.6202824041,272.75886,181945,-0.5502532798,0.017221244,3006410
46888235,0,1,0.3797175959,0.6202824041,,,,,
54414165,0,1,0.3797175959,0.6202824041,5451.70961,959300,0.6282888825,0.07857,80604710
53730970,0,1,0.3797175959,0.6202824041,,,,,
35244773,0,1,0.3797175959,0.6202824041,,,,,
67083700,0,1,0.3797175959,0.6202824041,286.42496,673805,-0.1281144473,0.0047537257,12930920
62604791,0,1,0.3797175959,0.6202824041,689.157292,15080,0.0929177178,0.0047537257,1909510
37848200,0,1,0.3797175959,0.6202824041,,,,,
