0.0133333333333333,Weights 1-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Case 1.0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,0,-0.00339918340667,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0299341499267,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,Current function value: 0.205437    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[1.0000000000000002, -0.89999999999999825]",         Iterations: 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.8, 1.0], [-1.0, -0.8])","[0.91164794126800008, -1.0000000000000009]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.00728151458676,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,0,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0293851520799,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-6.93889390391E-18,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.05,-0.0133333333333,-0.0133333333333,1.38777878078E-17,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,1,,,,,,,,1,,,,,,1,,,,,,1,1,1,,,,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 3b,,Current function value: 0.397127    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,         Iterations: 271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[0.96718631545345957, -0.89999999999999836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.65, 0.85], [-0.85, -0.65])","[0.85000000000000009, -0.85000000000000131]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.00718631545346,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0354902142227,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,0,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.05,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.00784311911058,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-1.38777878078E-17,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.05,0,-0.05,-0.0133333333333,-0.0133333333333,6.93889390391E-18,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333
3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
22,,,,1,,,1,,,,,1,,,,,,1,1,,,,,1,1,1,,,1,,,1,,1,,,,,,,1,1,,,,1,,,,1,,,,,,1,,,,,1,1,1,1,,,1,,,1,,,,,
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[0.90000000000000069, -0.89999999999999847]",Current function value: 0.937309    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,         Iterations: 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.5499999999999999, 0.65], [-0.65, -0.5499999999999999])","[0.65000000000000002, -0.65000000000000058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0.00251891270473,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0241477539619
Weights_Short,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0411735254234,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.05,0,0,-0.05,-0.0133333333333,0,0,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.05,-0.0133333333333,0,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,0,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,0,-0.0133333333333,6.93889390391E-18,-0.0133333333333,0,-0.0133333333333,0,-0.0133333333333,0,-0.05,-0.0133333333333,-0.0133333333333,0,0,-0.05,0,-0.05,-0.0133333333333,0,0,-0.0133333333333,-0.05,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,-0.00215980790996
17,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,1,,1,,,1,1,,,,1,,,,,,,,,,,,,1,1,,1,1,,,,1
37,,,,1,1,,1,,,,,1,,,,,,1,1,1,1,1,,1,1,1,,,1,,,1,,1,,1,,,,,1,1,1,,,1,,1,,1,,1,,1,,1,1,,,1,1,1,1,1,,1,1,,1,1,,,,1,1
Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure, Current function value: 1.438276    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])","[0.9000000000000008, -0.89999999999999836]",         Iterations: 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.45, 0.55], [-0.55, -0.45])","[0.54999999999999993, -0.55000000000000049]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,0.0133333333333,0.0133333333333,0.0081774993809,0,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.05,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.05,0,0.0184891672858,0.0133333333333,0,0,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.05
Weights_Short,-0.05,-0.0133333333333,-0.0133333333333,0,-0.05,-0.0133333333333,0,-0.0133333333333,-0.0126847458873,0,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,0,-0.05,-0.0133333333333,0,-0.05,0,0,-0.05,-0.0133333333333,0,0,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,-0.0133333333333,-0.05,-0.0133333333333,0,0,0,0,-0.0133333333333,-0.0133333333333,0,0,0,0,-0.0133333333333,-0.0133333333333,0,-0.0133333333333,0,0,0,-0.0133333333333,0,-0.0133333333333,0,0,0,-0.05,-0.0133333333333,-0.0133333333333,0,0,-0.05,0,-0.05,0,0,0,-0.040648587446,-0.05,0,-0.0133333333333,-0.0133333333333,-0.0133333333333,0,0
32,,,1,1,,,1,1,,1,1,1,,,,,1,,,,,1,1,1,1,,,,,,,,,1,,,,1,1,,,,,1,,1,,1,1,1,,,1,1,1,,1,1,1,,,,,,,,1,1,1,1,1,,,,1
49,1,,,1,1,,1,,1,1,,1,,,1,1,,1,1,1,1,1,,1,1,1,,,1,,,1,,1,1,1,1,,,1,1,1,1,,,1,,1,1,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1
Total Num of Deviations,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case 4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Optimization failed. Unable to find a feasible starting point.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.9, 1.1], [-1.1, -0.9])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"([0.3, 0.39999999999999997], [-0.39999999999999997, -0.3])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Num of Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
